priority_rank,scene_name_zh,scene_name_en,industry_code,source_major_name,process_step,value_score,difficulty_score,labor_urgency,scale_potential,superhuman_value,operation_complexity,structure_level,fault_tolerance,takt_pressure,priority_reason,l3_extracted,guide_generated
104,维护检修-海洋平台设备-远程遥操作巡检,MaintenanceInspection-OffshorePlatformEquipment-RemoteTeleopPatrol,37-373-3737,铁路、船舶、航空航天和其他运输设备制造业,维护检修,4.33,1.0,4,4,5,2,3,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
105,高压测试-变压器成品-安全隔离,HighVoltageTest-TransformerFinished-SafetyIsolation,38-382-3821,电气机械和器材制造业,高压测试,4.33,1.0,5,3,5,3,5,4,5,用工痛点突出；超人价值高；环境结构化；容错空间大,False,False
106,设备巡检-变电站开关柜-多仪表读取,EquipmentInspection-SubstationSwitchgear-MultiMeterReading,44-442-4420,电力、热力生产和供应业,设备巡检,4.33,1.0,3,5,5,3,4,5,5,规模潜力大；超人价值高；环境结构化；容错空间大,False,False
107,锅炉巡检-火电厂高温区-热成像监测,BoilerInspection-ThermalPowerPlant-ThermalImaging,44-441-4411,电力、热力生产和供应业,设备巡检,4.33,1.0,4,4,5,2,3,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
108,净化塔巡检-脱硫脱氨-有毒环境,PurifierInspection-DesulfurizationTower-ToxicEnvironment,45-00-4513,燃气生产和供应业,粗煤气净化,4.33,1.0,5,3,5,2,4,4,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
109,气化炉巡检-煤气发生炉-高温区域,GasifierInspection-CoalGasGenerator-HighTempZone,45-00-4513,燃气生产和供应业,气化反应,4.33,1.0,5,3,5,2,4,4,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
110,外观检测-机制纸表面-纸病识别,SurfaceInspection-MachineMadePaper-DefectDetection,22-222-2221,造纸和纸制品业,检验,4.33,1.25,4,4,5,1,5,4,2,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
111,取样送检-反应釜出料口-高温腐蚀,Sampling-ReactorOutlet-HighTempCorrosive,26-261-00,化学原料和化学制品制造业,反应合成,4.33,1.25,5,4,4,3,4,4,5,用工痛点突出；规模潜力大；超人价值高；环境结构化；容错空间大,False,False
112,投料加料-粉体原料-粉尘爆炸风险,MaterialFeeding-Powder-DustExplosionRisk,26-262-00,化学原料和化学制品制造业,配料称量,4.33,1.25,5,4,4,2,4,4,4,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
113,搬运码垛-成品药箱-50kg重载,PalletizingStacking-FinishedMedicineCases-50kgHeavyLoad,27-272-2720,医药制造业,成品入库,4.33,1.25,4,5,4,2,4,4,4,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
114,冻干上架-生物制品托盘-无菌操作,LyophilizationLoading-BiologicsTray-AsepticOperation,27-276-00,医药制造业,冻干封口,4.33,1.25,5,3,5,2,5,3,4,用工痛点突出；超人价值高；操作简单；环境结构化,False,False
115,阳极泥收集-电解槽底-贵金属回收,AnodeSlimeCollection-CellBottom-PreciousMetalRecovery,32-00-3221,有色金属冶炼和压延加工业,阳极泥收集,4.33,1.25,5,3,5,3,4,4,5,用工痛点突出；超人价值高；环境结构化；容错空间大,False,False
116,巡检监测-井下皮带输送机-运行状态,Inspection-UndergroundBeltConveyor-OperatingStatus,11-111-1110,开采专业及辅助性活动,设备维护检修,4.33,1.25,4,4,5,2,3,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
117,物料搬运-冷冻水产-零下25度,MaterialHandling-FrozenSeafood-Minus25Celsius,13-136-1361,农副食品加工业,冷库仓储,4.33,1.25,5,4,4,2,4,4,4,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
118,物料搬运-冷库肉品-零下18度,MaterialHandling-FrozenMeat-Minus18Celsius,13-135-1351,农副食品加工业,冷库仓储,4.33,1.25,5,4,4,2,4,4,4,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
119,速冻转运-冷库物料-低温环境,FrozenTransfer-ColdStorage-LowTemp,14-00-1432,食品制造业,冷库储存,4.33,1.25,5,4,4,2,4,4,4,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
120,灌装液位检测-饮料灌装线-高速在线,FillLevelInspection-BeverageLine-HighSpeedInline,15-152-00,酒、饮料和精制茶制造业,灌装,4.33,1.25,4,5,4,1,5,4,2,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
121,瓶盖检测剔除-封盖机下游-高速在线,CapInspectionRejection-PostCapper-HighSpeedInline,15-152-00,酒、饮料和精制茶制造业,封盖,4.33,1.25,4,5,4,1,5,4,2,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
122,内部检测-压力容器-受限空间作业,InternalInspection-PressureVessel-ConfinedSpace,33-333-3332,金属制品业,内部检测,4.33,1.25,5,3,5,3,4,4,5,用工痛点突出；超人价值高；环境结构化；容错空间大,False,False
123,光学检测-眼镜镜片-全检分级,OpticalInspection-EyeglassLens-FullSortingGrading,35-358-3587,专用设备制造业,检验,4.33,1.25,4,4,5,2,5,5,2,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
124,试驾检测-整车路试-多工况测试,RoadTest-FinishedVehicle-MultiCondition,36-361-00,汽车制造业,整车检测,4.33,1.25,3,5,5,2,4,4,4,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,True,True
125,性能测试-家用电器成品-多项目联测,PerformanceTest-HomeApplianceFinished-MultiItemCombined,38-385-3859,电气机械和器材制造业,性能测试,4.33,1.25,3,5,5,2,4,5,3,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
126,校准调试-测量仪器-标准规程操作,CalibrationAdjustment-MeasuringInstruments-StandardProcedure,40-401-4013,仪器仪表制造业,校准调试,4.33,1.25,4,4,5,4,5,4,5,用工痛点突出；规模潜力大；超人价值高；环境结构化；容错空间大,False,False
127,喷砂除锈-中大型金属件-密闭舱室,Sandblasting-MediumLargeParts-EnclosedChamber,43-431-4310,金属制品、机械和设备修理业,清洗处理,4.33,1.25,5,4,4,3,4,4,5,用工痛点突出；规模潜力大；超人价值高；环境结构化；容错空间大,False,False
128,格栅除渣-进水口粗格栅-恶臭湿滑环境,BarScreenCleaning-InletCoarseScreen-OdorousSlipperyZone,46-462-4620,水的生产和供应业,粗格栅,4.33,1.25,4,5,4,3,4,4,5,用工痛点突出；规模潜力大；超人价值高；环境结构化；容错空间大,False,False
129,成衣外观检测-质检台-多面翻转,GarmentInspection-QCStation-MultiSideFlipping,18-00-00,纺织服装、服饰业,质量检验,4.33,1.5,4,4,5,3,4,4,4,用工痛点突出；规模潜力大；超人价值高；环境结构化；容错空间大,False,False
130,外观质检-成品皮革-多缺陷类型,VisualInspection-FinishedLeather-MultiDefect,19-191-1910,皮革、毛皮、羽毛及其制品和制鞋业,检验包装,4.33,1.5,4,4,5,3,4,4,4,用工痛点突出；规模潜力大；超人价值高；环境结构化；容错空间大,False,False
131,取样送检-催化裂化产品-高温管线,Sampling-FCCProducts-HighTempPipeline,25-251-2511,石油、煤炭及其他燃料加工业,催化裂化,4.33,1.5,5,4,4,3,4,4,4,用工痛点突出；规模潜力大；超人价值高；环境结构化；容错空间大,False,False
132,取样送检-煤气净化系统-腐蚀性介质,Sampling-GasPurificationSystem-CorrosiveMedia,25-252-2521,石油、煤炭及其他燃料加工业,煤气净化,4.33,1.5,5,4,4,3,4,4,4,用工痛点突出；规模潜力大；超人价值高；环境结构化；容错空间大,False,False
133,阀门操作-管廊手轮阀-应急切换,ValveOperation-PipeRackHandwheel-Emergency,26-261-00,化学原料和化学制品制造业,中间储存,4.33,1.5,4,5,4,3,4,3,5,用工痛点突出；规模潜力大；超人价值高；环境结构化,True,True
134,原料入库-桶装粉末原料-重载搬运,RawMaterialReceiving-DrumPowder-HeavyLifting,27-271-2710,医药制造业,原料入库,4.33,1.5,4,5,4,2,3,4,4,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
135,外观检测-成品轮胎-全周表面,VisualInspection-FinishedTire-FullSurface,29-00-2911,橡胶和塑料制品业,外观检测,4.33,1.5,3,5,5,3,4,5,3,规模潜力大；超人价值高；环境结构化；容错空间大,False,False
136,搬运上料-橡胶配合剂-粉尘重载,MaterialHandling-RubberAdditive-DustyHeavy,29-291-00,橡胶和塑料制品业,配料称量,4.33,1.5,5,4,4,2,4,3,4,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化,False,False
137,外观检测-塑料注塑件-多面翻转,VisualInspection-InjectionPart-MultiSideFlip,29-292-00,橡胶和塑料制品业,检测,4.33,1.5,3,5,5,2,4,4,3,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
138,搬运码垛-粘土砖块-高温出窑,Palletizing-ClayBrick-HotFromKiln,30-303-3031,非金属矿物制品业,出窑,4.33,1.5,4,5,4,2,3,4,4,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
139,外观检测-建筑瓷砖-表面分级,Inspection-CeramicTiles-SurfaceGrading,30-307-3071,非金属矿物制品业,检选,4.33,1.5,3,5,5,2,5,4,2,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
140,铸坯表面检测-缺陷识别标记-高温辐射环境,BilletSurfaceInspection-DefectMarking-HighTempRadiation,31-312-3120,黑色金属冶炼和压延加工业,铸坯检验,4.33,1.5,4,4,5,2,4,4,3,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
141,取样送检-熔炼炉前-高温液态金属,Sampling-FurnaceFront-MoltenMetal,32-321-00,有色金属冶炼和压延加工业,熔炼,4.33,1.5,5,4,4,3,4,4,4,用工痛点突出；规模潜力大；超人价值高；环境结构化；容错空间大,False,False
142,铸锭表面检测-连铸机出口-高温坯料,IngotInspection-CasterOutlet-HighTempBillet,32-321-00,有色金属冶炼和压延加工业,检测,4.33,1.5,4,4,5,2,4,4,3,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
143,成品码垛-包装线末端-重复搬运,Palletizing-PackagingLineEnd-RepetitiveHandling,32-325-00,有色金属冶炼和压延加工业,成品出库,4.33,1.5,4,5,4,2,4,4,3,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
144,废料分拣-回收车间-重金属粉尘,ScrapSorting-RecyclingWorkshop-HeavyMetalDust,32-321-00,有色金属冶炼和压延加工业,原料入库,4.33,1.5,5,4,4,3,3,4,5,用工痛点突出；规模潜力大；超人价值高；容错空间大,False,False
145,酸洗槽操作-表面处理-腐蚀环境,PicklingTankOperation-SurfaceTreatment-CorrosiveEnvironment,32-325-00,有色金属冶炼和压延加工业,表面处理,4.33,1.5,5,4,4,2,4,3,4,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化,False,False
146,搬运码垛-精矿成品-25kg袋装,Palletizing-ConcentrateProduct-25kgBagged,9-91-00,有色金属矿采选业,成品出库,4.33,1.5,4,5,4,2,4,4,3,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,True,True
147,巡检监测-矿山设备-粉尘噪音环境,Inspection-MiningEquipment-DustNoiseEnvironment,11-119-1190,开采专业及辅助性活动,设备维护检修,4.33,1.5,4,4,5,2,2,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
148,保健品分装-胶囊片剂-计数装瓶,SupplementPacking-CapsuleTablet-CountingBottle,14-00-1492,食品制造业,分装,4.33,1.5,4,4,5,2,5,3,3,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化,False,False
149,喷砂除锈-金属结构件-粉尘环境,Sandblasting-MetalStructure-DustyEnvironment,33-336-3360,金属制品业,喷砂除锈,4.33,1.5,5,4,4,2,3,4,4,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,False,False
150,焊缝巡检-大型钢结构-狭窄空间攀爬,WeldInspection-SteelStructure-ConfinedClimbing,33-331-3311,金属制品业,焊缝检测,4.33,1.5,4,4,5,3,2,5,5,用工痛点突出；规模潜力大；超人价值高；容错空间大,False,False
151,热处理上下料-渗碳淬火炉-高温防护,HeatTreatmentLoadUnload-CarburizingFurnace-HighTempProtection,35-00-00,专用设备制造业,热处理,4.33,1.5,5,4,4,2,4,3,4,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化,False,False
152,物料配送-机加工车间-多工位跨楼层,MaterialDelivery-MachiningWorkshop-MultiStationMultiFloor,35-351-3516,专用设备制造业,机加工,4.33,1.5,4,5,4,2,3,4,4,用工痛点突出；规模潜力大；超人价值高；操作简单；容错空间大,True,True
153,化成分容-锂电池成品-批量操作,FormationGrading-LiBFinished-BatchOperation,38-384-3841,电气机械和器材制造业,化成,4.33,1.5,3,5,5,3,5,3,4,规模潜力大；超人价值高；环境结构化,False,False
154,性能测试-电机成品-多项目切换,PerformanceTest-MotorFinished-MultiItemSwitch,38-381-3812,电气机械和器材制造业,性能测试,4.33,1.5,3,5,5,3,4,4,4,规模潜力大；超人价值高；环境结构化；容错空间大,False,False
155,极板搬运-铅蓄电池-重载防腐,PlateHandling-LeadAcidBattery-HeavyAntiCorrosion,38-384-3843,电气机械和器材制造业,极板涂膏,4.33,1.5,5,4,4,2,4,3,4,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化,True,False
156,电池分选-成品配组-多参数判定,BatteryGrading-FinishedGrouping-MultiParamJudge,38-384-3841,电气机械和器材制造业,分选,4.33,1.5,3,5,5,2,5,4,2,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
157,搬运上下料-电镀挂具-酸雾腐蚀环境,PlatingRackHandling-ElectroplatingJig-AcidMistCorrosion,39-00-3982,计算机、通信和其他电子设备制造业,电镀铜,4.33,1.5,5,4,4,2,4,3,4,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化,False,False
158,分拣分类-废塑料-按材质色泽分选,Sorting-PlasticWaste-ByTypeAndColor,42-422-4220,废弃资源综合利用业,人工分拣,4.33,1.5,3,5,5,2,3,5,3,规模潜力大；超人价值高；操作简单；容错空间大,True,False
159,灌装巡检-口服液瓶装线-液位异常检测,FillingInspection-OralLiquidBottle-LevelAnomalyDetection,27-272-2720,医药制造业,压片灌装,4.0,0.25,3,4,5,1,5,5,5,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
160,杀菌设备巡检-高温区域-隧道式杀菌,SterilizerInspection-HighTempZone-TunnelPasteurizer,15-152-00,酒、饮料和精制茶制造业,杀菌,4.0,0.25,4,4,4,1,5,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
161,仪表读数-压力流量表-定时巡检,MeterReading-PressureFlowGauge-ScheduledInspection,45-00-4511,燃气生产和供应业,计量,4.0,0.25,3,5,4,1,5,5,5,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
162,高压管路巡检-海淡高压区-70bar高压泄漏风险,HighPressurePipeInspection-DesalinationHPZone-70barLeakRisk,46-463-4630,水的生产和供应业,高压泵送,4.0,0.25,4,3,5,1,5,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
163,巡检记录-复烤设备-温湿度监测,Inspection-RoastingEquipment-TempHumidity,16-161-1610,烟草制品业,复烤干燥,4.0,0.5,3,4,5,1,4,5,5,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
164,巡检记录-锯材干燥窑-高温粉尘,Inspection-TimberKiln-HighTempDust,20-201-2011,木材加工和木、竹、藤、棕、草制品业,干燥处理,4.0,0.5,5,3,4,1,4,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
165,巡检监测-核设施厂房-辐射限入区,PatrolMonitoring-NuclearFacility-RadiationRestrictedZone,25-253-2530,石油、煤炭及其他燃料加工业,元件制造,4.0,0.5,5,2,5,2,5,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
166,仪表读数-盐场蒸发池-高盐腐蚀环境,MeterReading-SaltEvaporationPond-HighSaltCorrosion,10-103-1030,非金属矿采选业,蒸发浓缩,4.0,0.5,4,4,4,1,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
167,设备巡检-淀粉车间-粉尘防爆,EquipmentInspection-StarchWorkshop-DustExplosionProof,13-139-1391,农副食品加工业,脱水干燥,4.0,0.5,5,3,4,1,4,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
168,设备巡检-蒸发结晶车间-高温热辐射,EquipmentInspection-EvaporationCrystallization-HighTemperatureRadiation,13-134-1340,农副食品加工业,蒸发浓缩,4.0,0.5,5,3,4,1,4,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
169,外观检测-发动机成品-多角度检查,VisualInspection-Engine-MultiAngle,36-362-3620,汽车制造业,测试,4.0,0.5,3,4,5,1,5,5,4,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
170,巡检记录-高铁车辆段-多车巡视数据采集,InspectionRecording-HSRDepot-MultiTrainPatrol,37-371-3711,铁路、船舶、航空航天和其他运输设备制造业,整车检测,4.0,0.5,3,5,4,1,4,5,5,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
171,电子测量仪器老练-高温循环-长周期监控,ElectronicMeasurementInstrumentAgeing-ThermalCycling-LongTermMonitoring,40-402-4028,仪器仪表制造业,老化筛选,4.0,0.5,4,3,5,2,5,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,True,True
172,巡检读数-辐照室设备-高辐射区域,Inspection-IrradiationEquipment-HighRadiationZone,41-412-4120,其他制造业,辐照处理,4.0,0.5,5,2,5,1,4,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
173,光伏巡检-太阳能电站组件-热斑故障检测,PVInspection-SolarPanelArray-HotspotDetection,44-441-4416,电力、热力生产和供应业,组件巡检,4.0,0.5,3,5,4,1,4,5,5,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
174,输煤巡检-火电厂皮带走廊-粉尘防爆环境,CoalConveyorInspection-PowerPlantBeltCorridor-DustExplosionHazard,44-441-4411,电力、热力生产和供应业,输煤系统,4.0,0.5,4,4,4,1,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
175,配电房巡检-电力供应配电设施-带电环境操作,DistributionRoomInspection-PowerSupplyDistribution-LiveEquipmentOperation,44-442-4420,电力、热力生产和供应业,设备巡检,4.0,0.5,3,5,4,2,5,5,5,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
176,储气柜巡检-湿式储气柜-密封监测,GasholderInspection-WetGasholder-SealMonitoring,45-00-4513,燃气生产和供应业,储气,4.0,0.5,4,3,5,1,4,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
177,巡检监测-活性炭活化炉-高温粉尘区,PatrolMonitoring-ActivatedCarbonFurnace-HighTempDusty,25-252-2529,石油、煤炭及其他燃料加工业,活化,4.0,0.75,5,3,4,2,4,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
178,巡检监测-生物质发酵罐区-密闭有机气体,PatrolMonitoring-BiomassFermenterZone-EnclosedOrganicGas,25-254-2541,石油、煤炭及其他燃料加工业,发酵/热解,4.0,0.75,4,4,4,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
179,巡检记录-生物基发酵罐-无菌环境,Inspection-BioBioReactor-SterileEnvironment,28-00-2831,化学纤维制造业,发酵培养,4.0,0.75,4,3,5,1,4,4,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
180,巡检监测-加热炉区域-高温烟气环境,Inspection-ReheatingFurnaceArea-HighTempFumes,31-313-3130,黑色金属冶炼和压延加工业,加热炉加热,4.0,0.75,4,4,4,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
181,巡检监测-矿热炉区域-高温烟尘强辐射,Inspection-SubmergedArcFurnaceArea-HighTempDustRadiation,31-314-3140,黑色金属冶炼和压延加工业,矿热炉熔炼,4.0,0.75,5,3,4,2,4,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,True,True
182,电解液取样-电解槽-腐蚀性液体,ElectrolyteSampling-ElectrolyticCell-CorrosiveLiquid,32-321-00,有色金属冶炼和压延加工业,精炼,4.0,0.75,4,4,4,2,4,5,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
183,巡检监测-油气管道-管廊阀室,Inspection-OilGasPipeline-PipeRackValveRoom,11-112-1120,开采专业及辅助性活动,油气集输,4.0,0.75,3,5,4,1,3,5,5,规模潜力大；超人价值高；操作简单；容错空间大,False,False
184,设备巡检-生产车间-多点读数,EquipmentInspection-Workshop-MultiPointReading,14-00-00,食品制造业,热处理,4.0,0.75,2,5,5,1,3,5,5,规模潜力大；超人价值高；操作简单；容错空间大,False,False
185,电炉巡检-工业电炉-高温区监测,FurnaceInspection-IndustrialFurnace-HighTempZone,34-346-3461,通用设备制造业,调试,4.0,0.75,5,3,4,2,4,5,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
186,巡检读数-矿山机械试验台-多参数采集,Inspection-MiningMachineTestBench-MultiParameter,35-351-3511,专用设备制造业,总装调试,4.0,0.75,3,4,5,2,4,5,5,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
187,巡检记录-铁路专用设备场站-多区域移动巡检,InspectionPatrol-RailEquipmentYard-MultiZoneMobile,37-371-3716,铁路、船舶、航空航天和其他运输设备制造业,运营维护,4.0,0.75,3,5,4,1,3,5,5,规模潜力大；超人价值高；操作简单；容错空间大,False,False
188,巡检读数-电子厂设备仪表-固定路线多点位,InspectionReading-FactoryEquipmentGauges-FixedRouteMultiPoint,39-00-00,计算机、通信和其他电子设备制造业,功能测试,4.0,0.75,3,5,4,1,3,5,5,规模潜力大；超人价值高；操作简单；容错空间大,True,False
189,通用巡检-生产车间-日杂制造,GeneralInspection-ProductionWorkshop-MiscManufacturing,41-419-4190,其他制造业,质检,4.0,0.75,3,5,4,1,3,5,5,规模潜力大；超人价值高；操作简单；容错空间大,False,False
190,面料检验标记-验布机-疵点识别,FabricInspection-InspectionMachine-DefectMarking,18-00-00,纺织服装、服饰业,面料检验,4.0,1.0,4,3,5,2,5,4,4,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,True,True
191,搬运投料-鞣制转鼓-化学品环境,MaterialFeeding-TanningDrum-ChemicalEnvironment,19-191-1910,皮革、毛皮、羽毛及其制品和制鞋业,鞣制,4.0,1.0,5,3,4,2,4,4,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
192,搬运码垛-文具成品箱-标准纸箱,Palletizing-StationeryCartons-StandardBox,24-241-2419,文教、工美、体育和娱乐用品制造业,搬运码垛,4.0,1.0,4,5,3,1,4,4,4,用工痛点突出；规模潜力大；操作简单；环境结构化；容错空间大,False,False
193,功能测试-电玩具-开关声光,FunctionTest-ElectricToy-SwitchLightSound,24-245-2451,文教、工美、体育和娱乐用品制造业,功能测试,4.0,1.0,3,5,4,2,5,5,3,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
194,消防巡检-石化厂区-全天候覆盖,FirePatrol-PetrochemPlant-AllWeatherCoverage,25-251-2511,石油、煤炭及其他燃料加工业,储存,4.0,1.0,3,5,4,2,3,5,5,规模潜力大；超人价值高；操作简单；容错空间大,False,False
195,巡检监测-储煤场-自燃预警,Inspection-CoalStockyard-SpontaneousCombustionMonitoring,6-61-610,煤炭开采和洗选业,仓储堆存,4.0,1.0,3,4,5,1,2,5,5,规模潜力大；超人价值高；操作简单；容错空间大,False,False
196,加注润滑-设备集中注油-多点定期,Lubrication-EquipmentOilInjection-MultiPointScheduled,8-00-00,黑色金属矿采选业,磨矿分级,4.0,1.0,3,5,4,2,4,4,5,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,True,True
197,巡检监测-井下水泵房-无人值守区域,Inspection-UndergroundPumpStation-UnmannedArea,8-81-810,黑色金属矿采选业,井巷开拓,4.0,1.0,4,3,5,2,4,4,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
198,粉尘检测-石棉矿区-致癌粉尘环境,DustMonitoring-AsbestosMineArea-CarcinogenicDust,10-00-1091,非金属矿采选业,采掘装载,4.0,1.0,5,3,4,2,3,5,5,用工痛点突出；超人价值高；操作简单；容错空间大,True,True
199,巡检监测-井下水泵房-设备运行,Inspection-UndergroundPumpStation-EquipmentOperation,11-111-1110,开采专业及辅助性活动,设备维护检修,4.0,1.0,4,3,5,2,4,4,5,用工痛点突出；超人价值高；操作简单；环境结构化；容错空间大,False,False
200,巡检监测-油气储罐区-防爆要求,Inspection-OilGasTankFarm-ExplosionProof,11-112-1120,开采专业及辅助性活动,储运设施管理,4.0,1.0,4,4,4,2,4,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
201,成品抽检搬运-质检室-跨区转运,SampleTransport-QCLab-CrossAreaTransfer,15-152-00,酒、饮料和精制茶制造业,质检,4.0,1.0,3,5,4,1,3,4,5,规模潜力大；超人价值高；操作简单；容错空间大,False,False
202,洗瓶机监控-灌装线前端-在线巡视,BottleWasherMonitoring-FillingLineInlet-InlineInspection,15-151-00,酒、饮料和精制茶制造业,灌装,4.0,1.0,4,4,4,2,4,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
203,质检记录-金属制品通用-多工位巡检,QualityRecording-MetalProducts-MultiStationPatrol,33-00-00,金属制品业,质检记录,4.0,1.0,2,5,5,2,3,5,5,规模潜力大；超人价值高；操作简单；容错空间大,False,False
204,焊缝巡检-锅炉内壁-受限空间,WeldInspection-BoilerInterior-ConfinedSpace,34-341-3411,通用设备制造业,检测,4.0,1.0,5,3,4,3,4,5,5,用工痛点突出；超人价值高；环境结构化；容错空间大,False,False
205,电缆检测-成品抽检-多项目切换,CableTest-SamplingInspection-MultiItemSwitch,38-383-3831,电气机械和器材制造业,成缆检测,4.0,1.0,3,4,5,3,4,5,5,规模潜力大；超人价值高；环境结构化；容错空间大,False,False
206,老化测试-照明灯具-批量监控,BurnInTest-Luminaire-BatchMonitoring,38-387-3872,电气机械和器材制造业,老化测试,4.0,1.0,3,5,4,2,4,4,5,规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
207,老化测试-电源模块-长时间监控上下架,BurnInTest-PowerModule-LongTermMonitorRacking,39-00-3915,计算机、通信和其他电子设备制造业,老化测试,4.0,1.0,4,4,4,2,4,4,5,用工痛点突出；规模潜力大；超人价值高；操作简单；环境结构化；容错空间大,False,False
208,衡器砝码加载-称重校准-重复标定,WeightLoading-ScaleCalibration-RepetitiveStandardization,40-405-4050,仪器仪表制造业,校准调试,4.0,1.0,3,4,5,3,5,4,5,规模潜力大；超人价值高；环境结构化；容错空间大,True,False
209,试验机加载-力学测试-样品装夹,TestMachineLoading-MechanicalTest-SpecimenClamping,40-401-4015,仪器仪表制造业,检测测试,4.0,1.0,3,4,5,3,5,4,5,规模潜力大；超人价值高；环境结构化；容错空间大,False,False
210,辐射测试-核辐射仪器-危险环境操作,RadiationTest-NuclearRadiationInstruments-HazardousOperation,40-402-4027,仪器仪表制造业,检测测试,4.0,1.0,5,2,5,3,5,4,5,用工痛点突出；超人价值高；环境结构化；容错空间大,False,False
