taxonomy_version,l1_id,l1_name_zh,l1_name_en,l1_description,l1_boundary,l2_id,l2_name_zh,l2_name_en,l2_description,l2_boundary_rule,control_type,typical_body_parts,industrial_examples,l3_naming_pattern
1.0,L1-03,上肢空间运动,Upper Limb Spatial Motion,以单臂或双臂末端（手部）在三维空间中进行轨迹运动为核心特征的运动模式。手部沿自由空间轨迹移动，可空载或负载。该类动作的物理本质是末端执行器（手部）在笛卡尔空间中的位置和姿态变化，不涉及与环境的持续接触力交互。,判定归属L1-03的核心标准：动作以手部在空间中的轨迹运动为主要特征，且运动过程中不存在与外部环境或对象的持续接触力交互（或接触力仅为维持抓持的被动力，不是主动施加的工作力）。与L1-04的区别：L1-03描述臂的空间运动，L1-04描述手指的构型变化。与L1-05~08的区别：L1-03的运动在自由空间中进行，L1-05~08涉及与外部环境的主动力交互或约束路径。,L2-03-07,递交传接,Handover and Transfer,将手持物体从一只手传递到另一只手，或从机器人传递给人类协作者（反之亦然）的运动。传递过程涉及给予方和接收方之间的时序协调和力过渡控制，存在双方共同持有物体的短暂过渡期。,与L2-03-02的区别：递交传接涉及物体所有权在两个执行器之间的转移过程，需要双方协调；单臂转移是单侧完成的搬运。与L2-04-05/06的区别：递交传接是物体在不同抓握器（双手之间或人机之间）之间转移，手内调姿是物体在同一只手内重新调整位置。,力-位混合控制/阻抗控制,双臂/灵巧手,左手持有工件传递到右手以改变握持方式；将装配好的组件递交给人类协作者进行下一步工序；从协作机器人处接收来料零件,[传递]-[传递方向]-[协调方式]，示例：传递-左手至右手-自主换手
1.0,L1-03,上肢空间运动,Upper Limb Spatial Motion,以单臂或双臂末端（手部）在三维空间中进行轨迹运动为核心特征的运动模式。手部沿自由空间轨迹移动，可空载或负载。该类动作的物理本质是末端执行器（手部）在笛卡尔空间中的位置和姿态变化，不涉及与环境的持续接触力交互。,判定归属L1-03的核心标准：动作以手部在空间中的轨迹运动为主要特征，且运动过程中不存在与外部环境或对象的持续接触力交互（或接触力仅为维持抓持的被动力，不是主动施加的工作力）。与L1-04的区别：L1-03描述臂的空间运动，L1-04描述手指的构型变化。与L1-05~08的区别：L1-03的运动在自由空间中进行，L1-05~08涉及与外部环境的主动力交互或约束路径。,L2-03-08,滑移推送,Surface Sliding Push,在支撑面上通过推力使物体沿表面滑动到目标位置的运动。物体始终与支撑面接触，不被提离表面。与空中搬运相比，控制维度降低（无需维持垂直方向支撑），但增加了摩擦力补偿需求。,与L2-03-02的区别：滑移推送的物体始终与支撑面接触，不存在提升和放下动作；负载转移需要将物体提起。与L1-05 L2-05-02的区别：滑移推送的目的是改变物体位置（位移是主要目标），L2-05-02的目的是施加力实现机构功能（如推门开启，力是主要目标）。,力-位混合控制,单臂/灵巧手,在工作台面上将零件推滑到指定位置；将料盘沿台面滑推到下一工位；在传送带旁将物品推入正确的分拣口,[推送]-[物体底面特征]-[表面类型]，示例：推送-平底零件-金属台面
1.0,L1-04,手部抓握操控,Hand Grasp and In-hand Manipulation,以手指和手掌构型变化为核心特征的运动模式，目的是建立、调整或解除手与物体之间的接触和约束关系。该类动作的工作空间局限于手掌和手指的可达范围之内，物理本质是通过多指协调控制实现对物体的包络、捏持、操控或释放。,判定归属L1-04的核心标准：动作的主要运动发生在手指和手掌层面（手腕以远），改变的是手与物体之间的接触状态或接触构型。与L1-03的区别：L1-03描述臂的空间运动（腕部以近的关节运动），L1-04描述手指的构型变化（腕部以远的关节运动）。与L1-06的区别：L1-04的旋转是手指在手内调整物体姿态，L1-06是通过手腕和手臂对外施加旋转力矩。,L2-04-01,力量抓握,Power Grasp,全手掌和多根手指共同包络物体形成大面积接触的抓握方式，以最大化抓持力和抓持稳定性为目标。典型场景包括握持工具手柄、抓持大型工件等需要大握力的操作。,与L2-04-02的区别：力量抓握使用全手包络（≥3根手指+手掌参与），强调握力和稳定性；精密捏取使用指尖（通常2-3根手指），强调灵巧性和精度。与L2-04-03的区别：力量抓握是通用的包络型抓持，工具功能握持需要手指按照工具使用功能的特定构型排列。,力控制,灵巧手/手指,满握抓持圆柱形工件进行搬运；全手包络抓持大型螺母准备安装；握持管状型材进行位置调整,[力握]-[物体截面形状]-[尺寸范围]，示例：力握-圆柱体-直径30至60mm
1.0,L1-04,手部抓握操控,Hand Grasp and In-hand Manipulation,以手指和手掌构型变化为核心特征的运动模式，目的是建立、调整或解除手与物体之间的接触和约束关系。该类动作的工作空间局限于手掌和手指的可达范围之内，物理本质是通过多指协调控制实现对物体的包络、捏持、操控或释放。,判定归属L1-04的核心标准：动作的主要运动发生在手指和手掌层面（手腕以远），改变的是手与物体之间的接触状态或接触构型。与L1-03的区别：L1-03描述臂的空间运动（腕部以近的关节运动），L1-04描述手指的构型变化（腕部以远的关节运动）。与L1-06的区别：L1-04的旋转是手指在手内调整物体姿态，L1-06是通过手腕和手臂对外施加旋转力矩。,L2-04-02,精密捏取,Precision Pinch Grasp,使用拇指与1-2根手指的指尖或指腹对小型、薄型或精密物体进行捏取的抓握方式。接触面积小但位置控制精度高，适用于需要精确控制物体位姿的场景。,与L2-04-01的区别：捏取仅使用指尖/指腹，不超过3根手指，不使用手掌。与L2-04-04的区别：精密捏取针对刚性小物体，形变适应抓取针对柔性或不规则物体。物体最大尺寸超过手掌宽度时，不应使用捏取。,力控制/位置控制,手指/灵巧手,拇指和食指捏取M3小螺丝；两指捏取薄垫片或O型圈；三指捏取小型电子元器件（电阻、电容）,[捏取]-[指法构型]-[物体特征]，示例：捏取-二指对捏-薄垫片
1.0,L1-04,手部抓握操控,Hand Grasp and In-hand Manipulation,以手指和手掌构型变化为核心特征的运动模式，目的是建立、调整或解除手与物体之间的接触和约束关系。该类动作的工作空间局限于手掌和手指的可达范围之内，物理本质是通过多指协调控制实现对物体的包络、捏持、操控或释放。,判定归属L1-04的核心标准：动作的主要运动发生在手指和手掌层面（手腕以远），改变的是手与物体之间的接触状态或接触构型。与L1-03的区别：L1-03描述臂的空间运动（腕部以近的关节运动），L1-04描述手指的构型变化（腕部以远的关节运动）。与L1-06的区别：L1-04的旋转是手指在手内调整物体姿态，L1-06是通过手腕和手臂对外施加旋转力矩。,L2-04-03,工具功能握持,Functional Tool Grasp,根据工具使用时的功能需求，以特定的手指排列构型握持工具的抓握方式。不仅要求稳固握持，还要求手指构型能支持后续的工具操作（如食指抵住螺丝刀顶部、拇指扣住扳手开口端）。,与L2-04-01的区别：工具功能握持需要手指按照工具特定使用方式排列（如写字握笔姿势），不只是包络住工具手柄。与L2-04-02的区别：工具握持通常涉及更多手指和更复杂的构型。判定标准：如果更换握持姿势会导致工具无法正常使用，则属于功能握持。,力控制/位置控制,灵巧手/手指,以使用姿势握持十字螺丝刀（食指抵压、拇指侧卡）；以操作姿势握持开口扳手；以功能握姿握持焊接辅助夹持工具,[工具握持]-[工具类型]-[握姿分类]，示例：工具握持-螺丝刀-旋拧功能姿
1.0,L1-04,手部抓握操控,Hand Grasp and In-hand Manipulation,以手指和手掌构型变化为核心特征的运动模式，目的是建立、调整或解除手与物体之间的接触和约束关系。该类动作的工作空间局限于手掌和手指的可达范围之内，物理本质是通过多指协调控制实现对物体的包络、捏持、操控或释放。,判定归属L1-04的核心标准：动作的主要运动发生在手指和手掌层面（手腕以远），改变的是手与物体之间的接触状态或接触构型。与L1-03的区别：L1-03描述臂的空间运动（腕部以近的关节运动），L1-04描述手指的构型变化（腕部以远的关节运动）。与L1-06的区别：L1-04的旋转是手指在手内调整物体姿态，L1-06是通过手腕和手臂对外施加旋转力矩。,L2-04-04,形变适应抓取,Adaptive Deformable Grasp,对柔性、易变形或形状不规则物体进行的自适应抓取。手指需要根据物体表面形状实时调整接触力分布，避免过度变形或损伤物体，同时确保抓持稳定。,与L2-04-01的区别：形变适应抓取需要对力的分布进行精细控制以避免物体变形，力量抓握追求最大握力。与L2-04-02的区别：适应抓取强调手指对不规则表面的顺应性，精密捏取假设物体为刚性且形状规则。判定标准：抓取过程中物体形状发生可观察变化的，属于本L2。,力控制/阻抗控制,灵巧手/手指,抓取柔性线缆束避免过度弯折；拿起泡沫包装材料不造成压凹；抓持软质橡胶密封条保持形状完整,[适抓]-[材料柔度]-[形状类型]，示例：适抓-软质-线束状
1.0,L1-04,手部抓握操控,Hand Grasp and In-hand Manipulation,以手指和手掌构型变化为核心特征的运动模式，目的是建立、调整或解除手与物体之间的接触和约束关系。该类动作的工作空间局限于手掌和手指的可达范围之内，物理本质是通过多指协调控制实现对物体的包络、捏持、操控或释放。,判定归属L1-04的核心标准：动作的主要运动发生在手指和手掌层面（手腕以远），改变的是手与物体之间的接触状态或接触构型。与L1-03的区别：L1-03描述臂的空间运动（腕部以近的关节运动），L1-04描述手指的构型变化（腕部以远的关节运动）。与L1-06的区别：L1-04的旋转是手指在手内调整物体姿态，L1-06是通过手腕和手臂对外施加旋转力矩。,L2-04-05,手内旋转调姿,In-hand Rotation,物体保持在手内不脱离，通过手指的协调滚动和滑动使物体绕某轴旋转一定角度的运动。属于高级灵巧操作，要求手指之间精确的时序配合和力的接替。,与L2-03-04的区别：手内旋转仅通过手指运动实现，物体不离开手掌空间；物体翻转调姿需要臂部大幅运动。与L2-04-06的区别：手内旋转改变物体的角度（旋转），手指滑移改变物体在手中的线性位置（平移）。,位置控制/力控制,手指/灵巧手,在手中旋转螺丝使其头部朝下便于安装；在手内转动小型零件查看不同面的标记；手指拨转小型圆柱销改变朝向,[手旋]-[旋转轴]-[角度范围]，示例：手旋-纵轴-180度翻转
1.0,L1-04,手部抓握操控,Hand Grasp and In-hand Manipulation,以手指和手掌构型变化为核心特征的运动模式，目的是建立、调整或解除手与物体之间的接触和约束关系。该类动作的工作空间局限于手掌和手指的可达范围之内，物理本质是通过多指协调控制实现对物体的包络、捏持、操控或释放。,判定归属L1-04的核心标准：动作的主要运动发生在手指和手掌层面（手腕以远），改变的是手与物体之间的接触状态或接触构型。与L1-03的区别：L1-03描述臂的空间运动（腕部以近的关节运动），L1-04描述手指的构型变化（腕部以远的关节运动）。与L1-06的区别：L1-04的旋转是手指在手内调整物体姿态，L1-06是通过手腕和手臂对外施加旋转力矩。,L2-04-06,手指滑移调位,In-hand Sliding Repositioning,通过手指与物体之间的受控滑动，使物体在手内沿某方向线性移动一小段距离的运动。目的是调整物体在手中的夹持位置（如将螺丝刀柄向上滑移以改变伸出长度），而不需要松开重新抓取。,与L2-04-05的区别：滑移调位改变的是物体在手中的线性位置（平移），手内旋转改变的是物体的角度（旋转）。与L2-04-07的区别：滑移调位全程保持手指与物体的接触，不存在完全松开的瞬间。,力-位混合控制,手指/灵巧手,将螺丝刀在手中向下滑移以增加工作端伸出长度；调整手中线缆的握持位置以便于穿线；将手中的量规滑移至正确的测量标尺位置,[滑调]-[滑动方向]-[距离范围]，示例：滑调-纵向后推-20mm以内
1.0,L1-04,手部抓握操控,Hand Grasp and In-hand Manipulation,以手指和手掌构型变化为核心特征的运动模式，目的是建立、调整或解除手与物体之间的接触和约束关系。该类动作的工作空间局限于手掌和手指的可达范围之内，物理本质是通过多指协调控制实现对物体的包络、捏持、操控或释放。,判定归属L1-04的核心标准：动作的主要运动发生在手指和手掌层面（手腕以远），改变的是手与物体之间的接触状态或接触构型。与L1-03的区别：L1-03描述臂的空间运动（腕部以近的关节运动），L1-04描述手指的构型变化（腕部以远的关节运动）。与L1-06的区别：L1-04的旋转是手指在手内调整物体姿态，L1-06是通过手腕和手臂对外施加旋转力矩。,L2-04-07,受控释放,Controlled Release,按照控制意图逐步打开手指，解除与物体的接触约束，使物体脱离手部的运动。释放过程需要控制松开速度和顺序，避免物体弹出、滑落或倾倒。,与L2-04-01/02的区别：释放是建立抓握的逆过程，手指从闭合向张开运动。与L2-03-07的区别：受控释放是单方面解除接触，不涉及另一个执行器的接管；递交传接需要双方协调。判定标准：动作结束时物体不再与手有任何接触，则属于释放。,位置控制/力控制,手指/灵巧手,将工件轻放在定位台上后逐步松手；松开对密封胶管的夹持停止涂胶；在夹具到位后释放对工件的手动固持,[释放]-[释放方式]-[物体状态]，示例：释放-渐进松指-物体已支撑
1.0,L1-05,线性力施加,Linear Force Application,以沿直线或近似直线方向对外部对象施加推力、拉力、压力等平移力为核心特征的运动模式。该类动作的物理本质是机器人的末端执行器（手部）与外部对象之间存在主动的、以线性力为主导的力学交互。力的方向和大小是主要控制量，末端位移是力的结果或次要控制量。,判定归属L1-05的核心标准：动作的主要控制目标是施加特定方向和大小的线性力（平移力），而非跟踪特定轨迹。与L1-03的区别：L1-03在自由空间运动，不与环境产生主动力交互；L1-05必须有与外部对象的持续接触力。与L1-06的区别：L1-05施加的是平移力（沿直线方向），L1-06施加的是旋转力矩（绕轴方向）。与L1-07的区别：L1-05的运动路径由力的作用方向决定，L1-07的运动路径由物理几何约束决定。,L2-05-01,点压触发,Point Press Activation,用手指或手部末端对小面积目标点施加短暂压力以触发功能的动作。力的作用时间短（<1秒），作用范围小（接触面积<10cm²），典型为按钮、触控屏点击等。,与L2-05-02的区别：点压触发的力作用时间<1秒且有明确触发反馈（机械click或功能响应），持续推压的力作用时间>1秒且需要维持。与L2-05-07的区别：点压触发的力方向垂直于接触面（法向按压），拨动切换的力方向平行于接触面（切向拨动）。,力控制/位置控制,手指/灵巧手,按下设备操作面板上的启动按钮；按压急停开关；触按数控面板上的功能键,[点压]-[目标类型]-[力度等级]，示例：点压-工业按钮-中等力度
1.0,L1-05,线性力施加,Linear Force Application,以沿直线或近似直线方向对外部对象施加推力、拉力、压力等平移力为核心特征的运动模式。该类动作的物理本质是机器人的末端执行器（手部）与外部对象之间存在主动的、以线性力为主导的力学交互。力的方向和大小是主要控制量，末端位移是力的结果或次要控制量。,判定归属L1-05的核心标准：动作的主要控制目标是施加特定方向和大小的线性力（平移力），而非跟踪特定轨迹。与L1-03的区别：L1-03在自由空间运动，不与环境产生主动力交互；L1-05必须有与外部对象的持续接触力。与L1-06的区别：L1-05施加的是平移力（沿直线方向），L1-06施加的是旋转力矩（绕轴方向）。与L1-07的区别：L1-05的运动路径由力的作用方向决定，L1-07的运动路径由物理几何约束决定。,L2-05-02,持续推压,Sustained Pushing,在一定时间内持续施加推力或压力使目标对象发生位移或形变的动作。力方向一般为远离身体的方向，力的大小可能需要根据对象响应动态调节。,与L2-05-01的区别：持续推压的力作用时间>1秒，且力的持续过程本身是动作目标的一部分。与L2-05-03的区别：推压是远离身体方向施力，拉拔是朝向身体方向施力。与L2-03-08的区别：本L2的主要目标是施加力（如推开门），L2-03-08的主要目标是物体位移（如将零件推到指定位置）。,力控制,单臂/双臂/灵巧手,双手推开防火门；持续按压夹具使其锁紧到位；推动滑动防护罩关闭设备,[推压]-[对象类型]-[力的持续模式]，示例：推压-防护门-匀力持续推
1.0,L1-05,线性力施加,Linear Force Application,以沿直线或近似直线方向对外部对象施加推力、拉力、压力等平移力为核心特征的运动模式。该类动作的物理本质是机器人的末端执行器（手部）与外部对象之间存在主动的、以线性力为主导的力学交互。力的方向和大小是主要控制量，末端位移是力的结果或次要控制量。,判定归属L1-05的核心标准：动作的主要控制目标是施加特定方向和大小的线性力（平移力），而非跟踪特定轨迹。与L1-03的区别：L1-03在自由空间运动，不与环境产生主动力交互；L1-05必须有与外部对象的持续接触力。与L1-06的区别：L1-05施加的是平移力（沿直线方向），L1-06施加的是旋转力矩（绕轴方向）。与L1-07的区别：L1-05的运动路径由力的作用方向决定，L1-07的运动路径由物理几何约束决定。,L2-05-03,拉拔抽取,Pulling and Extraction,沿朝向身体或远离对象固定点的方向施加拉力，将物体从约束位置中拉出或拉动可活动部件的动作。需要在抓持稳定性和拉力输出之间取得平衡。,与L2-05-02的区别：拉力方向朝向身体，推力方向远离身体。与L2-07-02的区别：本L2的物体在拉出过程中不受严格几何约束（如拉开抽屉、拉拔卡住的零件），L2-07-02的运动沿精确定义的几何路径进行（如从紧配合孔中精确抽出销钉）。判定标准：如果拉出过程偏离直线5mm以上不会导致卡死，属于本L2。,力控制,单臂/双臂/灵巧手,拉开设备维护舱门的把手；拔出已松动的故障保险丝；拉出物料仓的抽拉式料盘,[拉拔]-[对象固定方式]-[所需拉力等级]，示例：拉拔-卡扣固定零件-中等拉力
1.0,L1-05,线性力施加,Linear Force Application,以沿直线或近似直线方向对外部对象施加推力、拉力、压力等平移力为核心特征的运动模式。该类动作的物理本质是机器人的末端执行器（手部）与外部对象之间存在主动的、以线性力为主导的力学交互。力的方向和大小是主要控制量，末端位移是力的结果或次要控制量。,判定归属L1-05的核心标准：动作的主要控制目标是施加特定方向和大小的线性力（平移力），而非跟踪特定轨迹。与L1-03的区别：L1-03在自由空间运动，不与环境产生主动力交互；L1-05必须有与外部对象的持续接触力。与L1-06的区别：L1-05施加的是平移力（沿直线方向），L1-06施加的是旋转力矩（绕轴方向）。与L1-07的区别：L1-05的运动路径由力的作用方向决定，L1-07的运动路径由物理几何约束决定。,L2-05-04,夹紧固持,Clamping and Securing,通过双手或手与其他结构形成对向夹持力，将物体固定在指定位置防止其移动的动作。两个施力点之间形成对偶力系，物体被约束在力的合力为零的平衡位置。,与L2-05-06的区别：夹紧固持通过对向力将物体夹持在两个接触面之间，静态抵持是单方向施力维持物体位置（如顶住不让倒下）。与L2-04-01的区别：夹紧固持可使用手以外的身体部位或借助外部结构形成夹持，L2-04-01纯粹使用手指/手掌。,力控制,双臂/灵巧手,双手夹持工件固定在工作台上等待焊接；用手将盖板压在壳体上对齐螺丝孔；将密封条夹压在对接面之间,[夹持]-[夹持方式]-[固持时长]，示例：夹持-双手对向-持续固定
1.0,L1-05,线性力施加,Linear Force Application,以沿直线或近似直线方向对外部对象施加推力、拉力、压力等平移力为核心特征的运动模式。该类动作的物理本质是机器人的末端执行器（手部）与外部对象之间存在主动的、以线性力为主导的力学交互。力的方向和大小是主要控制量，末端位移是力的结果或次要控制量。,判定归属L1-05的核心标准：动作的主要控制目标是施加特定方向和大小的线性力（平移力），而非跟踪特定轨迹。与L1-03的区别：L1-03在自由空间运动，不与环境产生主动力交互；L1-05必须有与外部对象的持续接触力。与L1-06的区别：L1-05施加的是平移力（沿直线方向），L1-06施加的是旋转力矩（绕轴方向）。与L1-07的区别：L1-05的运动路径由力的作用方向决定，L1-07的运动路径由物理几何约束决定。,L2-05-05,冲击敲击,Impact and Tapping,以短促的高峰值力对目标施加冲击的动作。手或手持工具快速加速后与目标碰撞，在极短时间内传递冲量。与持续推压的本质区别在于力的时域特征——脉冲式而非持续式。,与L2-05-02的区别：冲击的力作用时间极短（<0.1秒）且峰值力远高于均值，推压的力平缓持续。与L2-05-01的区别：冲击需要手部有明显的加速和减速阶段（挥动动作），点压仅有缓慢的压入动作。判定标准：施力前末端需要后撤蓄力的，属于冲击敲击。,力控制/速度控制,单臂/灵巧手,使用橡皮锤敲击工件使其就位；用手指叩击设备外壳判断内部是否空腔；敲击卡涩的零件帮助松动,[敲击]-[工具类型]-[冲击强度]，示例：敲击-橡皮锤-中等冲击
1.0,L1-05,线性力施加,Linear Force Application,以沿直线或近似直线方向对外部对象施加推力、拉力、压力等平移力为核心特征的运动模式。该类动作的物理本质是机器人的末端执行器（手部）与外部对象之间存在主动的、以线性力为主导的力学交互。力的方向和大小是主要控制量，末端位移是力的结果或次要控制量。,判定归属L1-05的核心标准：动作的主要控制目标是施加特定方向和大小的线性力（平移力），而非跟踪特定轨迹。与L1-03的区别：L1-03在自由空间运动，不与环境产生主动力交互；L1-05必须有与外部对象的持续接触力。与L1-06的区别：L1-05施加的是平移力（沿直线方向），L1-06施加的是旋转力矩（绕轴方向）。与L1-07的区别：L1-05的运动路径由力的作用方向决定，L1-07的运动路径由物理几何约束决定。,L2-05-06,静态抵持,Static Force Bracing,在特定方向上持续施加力以维持物体位置不变或抵消外部力的动作。手部保持近似静止，通过持续力输出抵消重力、反作用力等外部干扰。这是焊接辅助、装配辅助等协作任务的基础动作。,与L2-05-04的区别：静态抵持是单方向施力（如顶住、托住），夹紧固持是双向对压形成夹持。与L2-02-06的区别：静态抵持描述手臂对外部物体施加的抵持力（主要是手臂末端力输出），L2-02-06描述全身姿态的维持（主要是躯干平衡控制）。,阻抗控制/力控制,单臂/双臂/灵巧手,持握工件抵住焊接平台辅助焊接作业；用手顶住面板防止翻倒等待同事固定；托举管道保持在安装位置等待紧固,[抵持]-[抵力方向]-[持续时长]，示例：抵持-水平顶压-中长时间
1.0,L1-05,线性力施加,Linear Force Application,以沿直线或近似直线方向对外部对象施加推力、拉力、压力等平移力为核心特征的运动模式。该类动作的物理本质是机器人的末端执行器（手部）与外部对象之间存在主动的、以线性力为主导的力学交互。力的方向和大小是主要控制量，末端位移是力的结果或次要控制量。,判定归属L1-05的核心标准：动作的主要控制目标是施加特定方向和大小的线性力（平移力），而非跟踪特定轨迹。与L1-03的区别：L1-03在自由空间运动，不与环境产生主动力交互；L1-05必须有与外部对象的持续接触力。与L1-06的区别：L1-05施加的是平移力（沿直线方向），L1-06施加的是旋转力矩（绕轴方向）。与L1-07的区别：L1-05的运动路径由力的作用方向决定，L1-07的运动路径由物理几何约束决定。,L2-05-07,拨动切换,Toggle Flick Switching,用手指以快速的切向力拨动拨片、开关、拨杆等可活动部件使其在两个或多个离散状态之间切换的动作。力的方向主要平行于部件运动方向（切向），作用时间短，行程短。,与L2-05-01的区别：拨动的力方向平行于部件运动面（切向拨动），按压的力方向垂直于接触面（法向按压）。与L1-06的区别：拨动的行程短（通常<30mm）且为线性运动，旋转操作是绕轴的角度运动。若拨动行程>30mm或涉及连续旋转，归入L1-06。,位置控制/速度控制,手指/灵巧手,拨动配电柜上的断路器开关；切换设备面板上的拨片选择开关；拨动产线控制箱上的模式选择拨杆,[拨动]-[开关类型]-[切换方向]，示例：拨动-拨片开关-上下切换
1.0,L1-06,旋转操作,Rotational Manipulation,以绕某轴线施加旋转力矩为核心特征的运动模式。手部或手持工具在与对象保持接触的状态下，绕旋转中心进行角度运动，将旋转力矩传递给操作对象。该类动作的核心物理量是力矩和角位移，控制目标是扭矩-角度的协调控制。,判定归属L1-06的核心标准：动作的主要运动学特征是绕某轴线的旋转，且存在对外部对象的主动力矩传递。与L1-05的区别：L1-05施加线性平移力，L1-06施加绕轴旋转力矩。与L1-03 L2-03-04的区别：L1-03是在自由空间中旋转物体（无外部阻力矩），L1-06是克服外部阻力矩施加旋转（如螺纹阻力、阀门摩擦力）。判定标准：如果旋转过程中去除外部阻力矩则动作失去意义，属于L1-06。,L2-06-01,工具辅助旋拧,Tool-aided Rotational Fastening,借助手持旋转工具（螺丝刀、扳手、套筒等）对紧固件施加旋拧力矩的动作。工具作为力矩放大和传递的媒介，手的旋转运动通过工具转化为对紧固件的精确扭矩输出。,与L2-06-02的区别：本L2使用了专门的旋转工具，徒手旋拧仅使用裸手。与L2-06-03的区别：本L2操作的是紧固件（螺栓、螺钉、螺母），L2-06-03操作的是流体控制阀门。工具的使用不仅是效率差异，更意味着不同的力传递机制和控制策略（工具杠杆比、对中要求等）。,力-位混合控制,单臂/灵巧手/手指,用十字螺丝刀拧紧M4螺钉；用开口扳手拧紧M8法兰螺栓；用套筒扳手预紧轮毂螺母,[工具旋拧]-[工具类型]-[紧固件规格]，示例：工具旋拧-十字螺丝刀-M4螺钉
1.0,L1-06,旋转操作,Rotational Manipulation,以绕某轴线施加旋转力矩为核心特征的运动模式。手部或手持工具在与对象保持接触的状态下，绕旋转中心进行角度运动，将旋转力矩传递给操作对象。该类动作的核心物理量是力矩和角位移，控制目标是扭矩-角度的协调控制。,判定归属L1-06的核心标准：动作的主要运动学特征是绕某轴线的旋转，且存在对外部对象的主动力矩传递。与L1-05的区别：L1-05施加线性平移力，L1-06施加绕轴旋转力矩。与L1-03 L2-03-04的区别：L1-03是在自由空间中旋转物体（无外部阻力矩），L1-06是克服外部阻力矩施加旋转（如螺纹阻力、阀门摩擦力）。判定标准：如果旋转过程中去除外部阻力矩则动作失去意义，属于L1-06。,L2-06-02,徒手旋拧,Manual Twist Fastening,不使用工具，直接用手指或手掌对紧固件、盖子、旋钮等进行旋拧的动作。手指直接与旋转对象接触，通过指腹摩擦力传递旋转力矩，扭矩范围受手指力量限制。,与L2-06-01的区别：不使用任何辅助工具，手指直接接触旋转对象。与L2-06-06的区别：徒手旋拧涉及多圈或大角度旋转以实现紧固/松脱，角度微调仅涉及小角度精密调节。与L2-04-05的区别：徒手旋拧对外施加旋转力矩（有外部阻力矩），手内旋转在手内自由空间中旋转物体（无外部阻力矩）。,力-位混合控制,手指/灵巧手,手拧塑料螺母进行预紧固；旋开设备检修口的手拧螺帽；手拧瓶盖型容器的密封盖,[手拧]-[对象类型]-[旋转方向]，示例：手拧-蝶形螺母-顺时针紧固
1.0,L1-06,旋转操作,Rotational Manipulation,以绕某轴线施加旋转力矩为核心特征的运动模式。手部或手持工具在与对象保持接触的状态下，绕旋转中心进行角度运动，将旋转力矩传递给操作对象。该类动作的核心物理量是力矩和角位移，控制目标是扭矩-角度的协调控制。,判定归属L1-06的核心标准：动作的主要运动学特征是绕某轴线的旋转，且存在对外部对象的主动力矩传递。与L1-05的区别：L1-05施加线性平移力，L1-06施加绕轴旋转力矩。与L1-03 L2-03-04的区别：L1-03是在自由空间中旋转物体（无外部阻力矩），L1-06是克服外部阻力矩施加旋转（如螺纹阻力、阀门摩擦力）。判定标准：如果旋转过程中去除外部阻力矩则动作失去意义，属于L1-06。,L2-06-03,阀门旋转操作,Valve Rotary Operation,对手轮式阀门、旋转手柄等大直径旋转操纵件进行旋转操作的动作。与紧固件旋拧相比，旋转半径更大，通常需要整臂甚至双臂参与，力矩通过大直径手轮的杠杆效应放大。,与L2-06-01的区别：阀门操作的旋转对象是固定在管路或设备上的操纵机构（非可拆卸），且旋转半径通常>50mm。与L2-06-05的区别：阀门操作通常有明确的起止位置（全开/全关或特定开度），连续回转需要无限制连续旋转。,力控制/位置控制,双臂/单臂/灵巧手,旋转管路截止阀手轮控制流量；操作冷却水进出阀门；转动设备检修口的手轮式锁紧机构,[阀操]-[阀门类型]-[操作要求]，示例：阀操-截止阀手轮-全开至全闭
1.0,L1-06,旋转操作,Rotational Manipulation,以绕某轴线施加旋转力矩为核心特征的运动模式。手部或手持工具在与对象保持接触的状态下，绕旋转中心进行角度运动，将旋转力矩传递给操作对象。该类动作的核心物理量是力矩和角位移，控制目标是扭矩-角度的协调控制。,判定归属L1-06的核心标准：动作的主要运动学特征是绕某轴线的旋转，且存在对外部对象的主动力矩传递。与L1-05的区别：L1-05施加线性平移力，L1-06施加绕轴旋转力矩。与L1-03 L2-03-04的区别：L1-03是在自由空间中旋转物体（无外部阻力矩），L1-06是克服外部阻力矩施加旋转（如螺纹阻力、阀门摩擦力）。判定标准：如果旋转过程中去除外部阻力矩则动作失去意义，属于L1-06。,L2-06-04,旋转解锁脱开,Rotary Unlock and Disengage,通过特定角度的旋转运动使锁定机构脱开的动作，包括卡口（bayonet）连接器、旋转锁扣、安全旋盖等的解锁。旋转角度通常有限（<180°），且存在到位的触觉反馈（click或脱扣感）。,与L2-06-02的区别：旋转解锁的旋转角度有限（通常<180°），目的是改变锁定状态而非连续旋紧；徒手旋拧需要多圈旋转以改变紧固程度。与L2-05-03的区别：旋转解锁的主要运动是旋转，拉拔抽取的主要运动是线性拉出。若需先旋转再拉出，拆为两个原子动作。,力-位混合控制,灵巧手/手指/单臂,旋转卡口式传感器使其脱离安装座；旋开设备上的快拆旋钮；旋转解除安全盖板的锁定角度,[旋脱]-[锁定类型]-[解锁角度]，示例：旋脱-卡口连接器-逆时针90度
